Year,Region Name,Median Price
2003,Yell County,
2004,Yell County,
2005,Yell County,
2006,Yell County,
2007,Yell County,
2008,Yell County,
2009,Yell County,
2010,Yell County,412704
2011,Yell County,701524
2012,Yell County,717486
2013,Yell County,755658
2014,Yell County,774756
2015,Yell County,800476
2016,Yell County,869508
2017,Yell County,887346
2018,Yell County,903451
2019,Yell County,947450
2020,Yell County,244400
1996,Yazoo County,
1997,Yazoo County,
1998,Yazoo County,
1999,Yazoo County,565898
2000,Yazoo County,763682
2001,Yazoo County,790393
2002,Yazoo County,812670
2003,Yazoo County,838587
2004,Yazoo County,862727
2005,Yazoo County,920371
2006,Yazoo County,990170
2007,Yazoo County,995385
2008,Yazoo County,945413
2009,Yazoo County,914206
2010,Yazoo County,880016
2011,Yazoo County,820708
2012,Yazoo County,801526
2013,Yazoo County,780709
2014,Yazoo County,806629
2015,Yazoo County,840105
2016,Yazoo County,859685
2017,Yazoo County,858456
2018,Yazoo County,904382
2019,Yazoo County,949960
2020,Yazoo County,240598
1996,Yavapai County,1555679
1997,Yavapai County,1577834
1998,Yavapai County,1637511
1999,Yavapai County,1718036
2000,Yavapai County,1796409
2001,Yavapai County,1900245
2002,Yavapai County,2032385
2003,Yavapai County,2176483
2004,Yavapai County,2409419
2005,Yavapai County,3012911
2006,Yavapai County,3723051
2007,Yavapai County,3686431
2008,Yavapai County,3299972
2009,Yavapai County,2767789
2010,Yavapai County,2434555
2011,Yavapai County,2189156
2012,Yavapai County,2187015
2013,Yavapai County,2476531
2014,Yavapai County,2758631
2015,Yavapai County,2884434
2016,Yavapai County,3069324
2017,Yavapai County,3326572
2018,Yavapai County,3592729
2019,Yavapai County,3775340
2020,Yavapai County,977433
1996,Yates County,803462
1997,Yates County,812453
1998,Yates County,848597
1999,Yates County,878630
2000,Yates County,943073
2001,Yates County,1025012
2002,Yates County,1113112
2003,Yates County,1203358
2004,Yates County,1334141
2005,Yates County,1476367
2006,Yates County,1541076
2007,Yates County,1538670
2008,Yates County,1501130
2009,Yates County,1425780
2010,Yates County,1402704
2011,Yates County,1374492
2012,Yates County,1367741
2013,Yates County,1391738
2014,Yates County,1439847
2015,Yates County,1519572
2016,Yates County,1616161
2017,Yates County,1721505
2018,Yates County,1838032
2019,Yates County,1928134
2020,Yates County,497516
1996,Yankton County,
1997,Yankton County,
1998,Yankton County,
1999,Yankton County,
2000,Yankton County,
2001,Yankton County,
2002,Yankton County,
2003,Yankton County,
2004,Yankton County,
2005,Yankton County,1007664
2006,Yankton County,1369308
2007,Yankton County,1437612
2008,Yankton County,1492181
2009,Yankton County,1492286
2010,Yankton County,1487674
2011,Yankton County,1484874
2012,Yankton County,1503000
2013,Yankton County,1567385
2014,Yankton County,1627960
2015,Yankton County,1702104
2016,Yankton County,1795003
2017,Yankton County,1916490
2018,Yankton County,1980137
2019,Yankton County,2051016
2020,Yankton County,521083
1996,Yancey County,974294
1997,Yancey County,1104961
1998,Yancey County,1194177
1999,Yancey County,1129718
2000,Yancey County,1222062
2001,Yancey County,1343690
2002,Yancey County,1415527
2003,Yancey County,1487025
2004,Yancey County,1586521
2005,Yancey County,1660105
2006,Yancey County,1780539
2007,Yancey County,1894526
2008,Yancey County,1922704
2009,Yancey County,1865484
2010,Yancey County,1779514
2011,Yancey County,1719266
2012,Yancey County,1699932
2013,Yancey County,1685368
2014,Yancey County,1712963
2015,Yancey County,1770604
2016,Yancey County,1841250
2017,Yancey County,1940763
2018,Yancey County,2073780
2019,Yancey County,2154156
2020,Yancey County,550210
1996,Yamhill County,1529542
1997,Yamhill County,1641698
1998,Yamhill County,1787955
1999,Yamhill County,1834310
2000,Yamhill County,1886818
2001,Yamhill County,1976753
2002,Yamhill County,2047930
2003,Yamhill County,2121898
2004,Yamhill County,2246666
2005,Yamhill County,2447191
2006,Yamhill County,2848937
2007,Yamhill County,3188010
2008,Yamhill County,3117089
2009,Yamhill County,2807778
2010,Yamhill County,2606508
2011,Yamhill County,2419144
2012,Yamhill County,2411983
2013,Yamhill County,2595834
2014,Yamhill County,2871508
2015,Yamhill County,3065706
2016,Yamhill County,3373880
2017,Yamhill County,3768077
2018,Yamhill County,4024444
2019,Yamhill County,4242583
2020,Yamhill County,1092050
1996,Yalobusha County,
1997,Yalobusha County,
1998,Yalobusha County,
1999,Yalobusha County,
2000,Yalobusha County,
2001,Yalobusha County,
2002,Yalobusha County,
2003,Yalobusha County,
2004,Yalobusha County,
2005,Yalobusha County,
2006,Yalobusha County,
2007,Yalobusha County,
2008,Yalobusha County,
2009,Yalobusha County,
2010,Yalobusha County,
2011,Yalobusha County,
2012,Yalobusha County,
2013,Yalobusha County,
2014,Yalobusha County,571598
2015,Yalobusha County,899873
2016,Yalobusha County,976450
2017,Yalobusha County,1019821
2018,Yalobusha County,1028059
2019,Yalobusha County,1067981
2020,Yalobusha County,273929
1996,Yakima County,846342
1997,Yakima County,1275947
1998,Yakima County,1307921
1999,Yakima County,1344568
2000,Yakima County,1368583
2001,Yakima County,1376598
2002,Yakima County,1394346
2003,Yakima County,1440483
